vertex_id,type,user_id,weight
4,u,1,0.5
4,u,172,0.5
126,h,1,1.0
188,h,174,1.0
127,h,1,1.0
5,h,1,0.37500000000000006
5,h,8,0.625
26,h,2,0.11764705882352941
26,h,172,0.5294117647058824
26,h,173,0.3529411764705882
27,p,18,1.0
11,h,8,1.0
48,h,16,1.0
8,u,2,1.0
2345,p,170,1.0
7,h,30,0.4326923076923077
7,h,6,0.4326923076923077
7,h,1,0.08653846153846155
7,h,2,0.04807692307692308
177,h,174,1.0
10,h,8,1.0
28,h,12,1.0
173,u,174,0.5263157894736842
173,u,1,0.21052631578947367
173,u,2,0.2631578947368421
73,h,177,1.0
66,h,2,1.0
198,h,176,1.0
49,h,18,1.0
170,h,1,1.0
19,p,18,1.0
1583,p,2,1.0
5,u,172,1.0
15,h,11,0.5
15,h,29,0.5
174,h,2,1.0
44,h,173,1.0
33,h,173,1.0
142,p,18,1.0
2521,p,2,1.0
1584,p,2,1.0
182,h,2,1.0
3,u,172,1.0
12,h,9,1.0
62,p,2,1.0
13,h,9,1.0
4549,p,18,1.0
129,h,170,1.0
2,u,172,0.1153846153846154
2,u,8,0.576923076923077
2,u,173,0.19230769230769232
2,u,1,0.1153846153846154
6,p,1,1.0
42,h,14,1.0
1585,p,13,1.0
153,h,2,1.0
184,h,172,1.0
199,h,176,1.0
172,u,3,0.3389830508474576
172,u,4,0.1694915254237288
172,u,1,0.06779661016949151
172,u,5,0.3389830508474576
172,u,2,0.0847457627118644
281,p,18,0.14285714285714285
281,p,13,0.8571428571428572
34,p,18,1.0
45,h,15,1.0
3879,p,18,1.0
1582,p,2,1.0
4570,p,170,1.0
4581,p,170,0.3333333333333333
4581,p,1,0.6666666666666666
4569,p,170,1.0
132,h,2,1.0
2522,p,2,1.0
3886,p,18,1.0
36,p,18,1.0
65,h,31,1.0
3881,p,18,1.0
41,h,14,1.0
1209,p,18,1.0
30,h,13,1.0
174,u,173,0.625
174,u,1,0.37500000000000006
63,p,2,1.0
1230,p,18,1.0
53,h,2,1.0
14,h,10,1.0
34,h,174,1.0
2344,p,2,1.0
1,u,2,0.14018691588785046
1,u,4,0.2803738317757009
1,u,174,0.2803738317757009
1,u,172,0.11214953271028037
1,u,173,0.18691588785046728
31,h,13,1.0
154,h,2,1.0
19,u,19,1.0
178,u,178,1.0
21,u,21,1.0
163,u,163,1.0
37,u,37,1.0
15,u,15,1.0
167,u,167,1.0
23,u,23,1.0
166,u,166,1.0
6,u,6,1.0
18,u,18,1.0
162,u,162,1.0
13,u,13,1.0
43,u,43,1.0
25,u,25,1.0
31,u,31,1.0
181,u,181,1.0
33,u,33,1.0
165,u,165,1.0
14,u,14,1.0
171,u,171,1.0
27,u,27,1.0
12,u,12,1.0
177,u,177,1.0
32,u,32,1.0
30,u,30,1.0
175,u,175,1.0
26,u,26,1.0
168,u,168,1.0
16,u,16,1.0
41,u,41,1.0
17,u,17,1.0
42,u,42,1.0
11,u,11,1.0
9,u,9,1.0
170,u,170,1.0
10,u,10,1.0
29,u,29,1.0
180,u,180,1.0
179,u,179,1.0
176,u,176,1.0
169,u,169,1.0
24,u,24,1.0
53,u,53,1.0
7,u,7,1.0
28,u,28,1.0
63,u,63,1.0
